name,value,scheduleId,gachaType,bannerType,sortId,rateUpItems4,rateUpItems5,prefabPath,previewprefabPath,titlePath,globalName,vietnameseName,type,image
Cõi Mộng Ngàn Đêm (A Thousand Floating Dreams),14511,86,302,WEAPON,2,"11402,12403,13407,14402,15405",14511,GachaShowPanel_A105,UI_Tab_GachaShowPanel_A105,UI_GACHA_SHOW_PANEL_A020_TITLE,A Thousand Floating Dreams,Cõi Mộng Ngàn Đêm,Weapon,
Sấm Sét Rung Động (Thundering Pulse),15509,86,302,WEAPON,2,"11402,12403,13407,14402,15405",14511,GachaShowPanel_A105,UI_Tab_GachaShowPanel_A105,UI_GACHA_SHOW_PANEL_A020_TITLE,Thundering Pulse,Sấm Sét Rung Động,Weapon,
Sangonomiya Kokomi (Sangonomiya Kokomi),1054,79,400,EVENT,982,"1025,1043,1068",1054,GachaShowPanel_A095,UI_Tab_GachaShowPanel_A095,UI_GACHA_SHOW_PANEL_A053_TITLE,Sangonomiya Kokomi,Sangonomiya Kokomi,Character,
Sấm Sét Rung Động (Thundering Pulse),15509,72,302,WEAPON,2,"14410,15410,11402,12403,13401",15509,GachaShowPanel_A090,UI_Tab_GachaShowPanel_A090,UI_GACHA_SHOW_PANEL_A020_TITLE,Thundering Pulse,Sấm Sét Rung Động,Weapon,
Kiếm Chước Phong (Summit Shaper),11504,72,302,WEAPON,2,"14410,15410,11402,12403,13401",15509,GachaShowPanel_A090,UI_Tab_GachaShowPanel_A090,UI_GACHA_SHOW_PANEL_A020_TITLE,Summit Shaper,Kiếm Chước Phong,Weapon,
Ganyu (Ganyu),1037,78,301,EVENT,982,"1025,1043,1068",1037,GachaShowPanel_A094,UI_Tab_GachaShowPanel_A094,UI_GACHA_SHOW_PANEL_A028_TITLE,Ganyu,Ganyu,Character,
Klee (Klee),1029,71,400,EVENT,982,"1027,1059,1050",1029,GachaShowPanel_A087,UI_Tab_GachaShowPanel_A087,UI_GACHA_SHOW_PANEL_A018_TITLE,Klee,Klee,Character,
Cung Amos (Cung Amos),15502,77,302,WEAPON,2,"11403,12401,13401,14409,15405",15502,GachaShowPanel_A096,UI_Tab_GachaShowPanel_A096,UI_GACHA_SHOW_PANEL_A020_TITLE,Cung Amos,Cung Amos,Weapon,
Vầng Trăng Bất Diệt (Everlasting Moonglow),14506,77,302,WEAPON,2,"11403,12401,13401,14409,15405",15502,GachaShowPanel_A096,UI_Tab_GachaShowPanel_A096,UI_GACHA_SHOW_PANEL_A020_TITLE,Everlasting Moonglow,Vầng Trăng Bất Diệt,Weapon,
Lời Thề Tự Do Cổ Xưa (Freedom-Sworn),11503,69,302,WEAPON,2,"11410,12405,13407,14402,15412",11503,GachaShowPanel_A088,UI_Tab_GachaShowPanel_A088,UI_GACHA_SHOW_PANEL_A020_TITLE,Freedom-Sworn,Lời Thề Tự Do Cổ Xưa,Weapon,
Điển Tích Tây Phong (Lost Prayer to the Sacred Winds),14502,69,302,WEAPON,2,"11410,12405,13407,14402,15412",11503,GachaShowPanel_A088,UI_Tab_GachaShowPanel_A088,UI_GACHA_SHOW_PANEL_A020_TITLE,Lost Prayer to the Sacred Winds,Điển Tích Tây Phong,Weapon,
Zhongli (Zhongli),1030,76,400,EVENT,982,"1067,1039,1031",1030,GachaShowPanel_A092,UI_Tab_GachaShowPanel_A092,UI_GACHA_SHOW_PANEL_A024_TITLE,Zhongli,Zhongli,Character,
Arataki Itto (Arataki Itto),1057,68,301,EVENT,982,"1036,1055,1065",1057,GachaShowPanel_A084,UI_Tab_GachaShowPanel_A084,UI_GACHA_SHOW_PANEL_A061_TITLE,Arataki Itto,Arataki Itto,Character,
Tighnari (Tighnari),1069,75,301,EVENT,982,"1067,1039,1031",1069,GachaShowPanel_A091,UI_Tab_GachaShowPanel_A091,UI_GACHA_SHOW_PANEL_A091_TITLE,Tighnari,Tighnari,Character,
Xích Giác Phá Thạch Đao (Redhorn Stonethresher),12510,67,302,WEAPON,2,"12410,11405,13401,14403,15402",12510,GachaShowPanel_A085,UI_Tab_GachaShowPanel_A085,UI_GACHA_SHOW_PANEL_A020_TITLE,Redhorn Stonethresher,Xích Giác Phá Thạch Đao,Weapon,
Khóa Trần Thế (Memory of Dust),14504,67,302,WEAPON,2,"12410,11405,13401,14403,15402",12510,GachaShowPanel_A085,UI_Tab_GachaShowPanel_A085,UI_GACHA_SHOW_PANEL_A020_TITLE,Memory of Dust,Khóa Trần Thế,Weapon,
Con Đường Thợ Săn (Hunter's Path),15511,74,302,WEAPON,2,"11401,12402,13407,14401,15402",15511,GachaShowPanel_A093,UI_Tab_GachaShowPanel_A093,UI_GACHA_SHOW_PANEL_A020_TITLE,Hunter's Path,Con Đường Thợ Săn,Weapon,
Giáo Nịnh Thần (Vortex Vanquisher),13504,74,302,WEAPON,2,"11401,12402,13407,14401,15402",15511,GachaShowPanel_A093,UI_Tab_GachaShowPanel_A093,UI_GACHA_SHOW_PANEL_A020_TITLE,Vortex Vanquisher,Giáo Nịnh Thần,Weapon,
Xiao (Xiao),1026,66,400,EVENT,982,"1048,1014,1034",1026,GachaShowPanel_A082,UI_Tab_GachaShowPanel_A082,UI_GACHA_SHOW_PANEL_A031_TITLE,Xiao,Xiao,Character,
Yoimiya (Yoimiya),1049,73,301,EVENT,982,"1064,1044,1032",1049,GachaShowPanel_A089,UI_Tab_GachaShowPanel_A089,UI_GACHA_SHOW_PANEL_A049_TITLE,Yoimiya,Yoimiya,Character,
Yelan (Yelan),1060,65,301,EVENT,982,"1048,1014,1034",1060,GachaShowPanel_A081,UI_Tab_GachaShowPanel_A081,UI_GACHA_SHOW_PANEL_A081_TITLE,Yelan,Yelan,Character,
Haran Geppaku Futsu (Haran Geppaku Futsu),11510,59,302,WEAPON,2,"15405,11402,14402,13401,12403",11510,GachaShowPanel_A078,UI_Tab_GachaShowPanel_A078,UI_GACHA_SHOW_PANEL_A020_TITLE,Haran Geppaku Futsu,Haran Geppaku Futsu,Weapon,
