globalName,vietnameseName,value
Character EXP: 101,EXP Nhân Vật: 101,101
Adventure EXP: 102,EXP Mạo Hiểm: 102,102
Stardust: 103,Tinh Trần: 103,103
Tinh Huy: 104,Tinh Huy: 104,104
Companionship EXP: 105,EXP Yêu Thích: 105,105
Original Resin: 106,Nhựa Nguyên Chất: 106,106
Story Key: 107,Chìa Khóa Truyền Thuyết: 107,107
[CHS] - (test)天体推演: 108,[CHS] - (test)天体推演: 108,108
Fading Star's Might: 109,Năng Lượng Tức Tinh: 109,109
Fading Star's Essence: 110,Tức Tinh Cô Đọng: 110,110
Glimmering Essence: 111,Tinh Túy Ánh Sáng: 111,111
Warm Essence: 112,Tinh Túy Ấm Áp: 112,112
Miraculous Essence: 113,Tinh Túy Kỳ Tích: 113,113
Iron Coin: 114,Tiền Xu: 114,114
Peace Talisman: 115,Ngọc Bình An: 115,115
Festive Fever: 116,Độ Náo Nhiệt Lễ Hội: 116,116
Veneficus Sigil: 117,Bùa Kỳ Thuật: 117,117
Festive Tour Ticket: 118,Vé Dạo Chơi Lễ Hội: 118,118
Peculiar Collab Coupon: 119,Vé Trợ Giúp Kỳ Thú: 119,119
Heart of the Spring: 120,Chân Tình Nước Trong: 120,120
Trust: 121,Độ Tín Nhiệm: 121,121
Fractured Fruit Data: 122,Dữ Liệu Mảnh Quả: 122,122
Windtrace Coins: 123,Tiền Lạc Lối: 123,123
Shiny Flotsam: 124,Vật Trôi Nổi Lấp Lánh: 124,124
"Mini ""Harpastum"": 125","""Quả Cầu"" Mini: 125",125
Enigma Gear: 126,Bánh Răng Thần Bí: 126,126
Thunder Pellet: 127,Khối Sấm: 127,127
Thunder Crystal: 128,Tinh Thể Sấm Sét: 128,128
Mechanicus Mastery EXP: 129,EXP Thuật Chơi Cờ: 129,129
Wondrous Talisman: 130,Bùa Diệu Kỳ: 130,130
Moonchase Festival Festive Fever: 131,Độ Náo Nhiệt Lễ Hội của Lễ Trục Nguyệt: 131,131
Battered Shikifuda: 132,Shikifuda Tan Nát: 132,132
Damaged Replica: 133,Bản Sao Hư Hại: 133,133
Aged Token: 134,Thẻ Bài Nứt Vỡ: 134,134
Snowstrider Seal: 135,Huy Hiệu Tuyết: 135,135
Vanquisher's Emblem: 136,Huy Hiệu Chiến Thắng: 136,136
Affluence Talisman: 137,Bùa Chúc Phúc: 137,137
Immaculate Talisman: 138,Bùa Hoàn Hảo: 138,138
Conquest Talisman: 139,Bùa Hàng Ma: 139,139
Moonlit Cragstone: 140,U Uẩn Thạch: 140,140
Iridescent Flotsam: 141,Vật Trôi Nổi Óng Ánh: 141,141
Stratagem Shard: 142,Mảnh Ngọc Chiến Lược: 142,142
Creative Note: 143,Sổ Tay Chế Tác: 143,143
Whimsical Draft: 144,Phác Thảo Nhanh: 144,144
Ancient Iron Coin: 145,Tiền Sắt Cổ: 145,145
Player EXP: 146,EXP Bài Thủ: 146,146
Festive Fever: 147,Độ Náo Nhiệt Lễ Hội: 147,147
Doanh Thu: 148,Doanh Thu: 148,148
Usable Funds: 149,Vốn Khả Dụng: 149,149
Strategic Inspiration: 150,Cảm Hứng Chiến Lược: 150,150
Mushroom Currency: 151,Tiền Nấm: 151,151
Fungus Medal: 152,Huy Chương Nấm: 152,152
Shattered Phenocryst: 153,Tinh Thể Vỡ Vụn: 153,153
Courage Test Ticket: 155,Vé Thưởng Đại Hội Dũng Cảm: 155,155
Festive Fever: 156,Độ Náo Nhiệt Lễ Hội: 156,156
Primogem: 201,Nguyên Thạch: 201,201
Mora: 202,Mora: 202,202
Genesis Crystal: 203,Đá Sáng Thế: 203,203
Realm Currency: 204,Tiền Động Tiên: 204,204
[CHS] - 幸运牌币（废弃）: 205,[CHS] - 幸运牌币（废弃）: 205,205
Original Essence (Invalidated): 210,Tinh Phách Nguyên Chất: 210,210
Original Resin (Invalidated): 211,Nhựa Nguyên Chất: 211,211
Masterless Starglitter: 221,Tinh Huy Vô Chủ: 221,221
Masterless Stardust: 222,Tinh Trần Vô Chủ: 222,222
Intertwined Fate: 223,Mối Duyên Vương Vấn: 223,223
Acquaint Fate: 224,Mối Duyên Tương Ngộ: 224,224
Pyro Sigil: 301,Ấn Hỏa: 301,301
Hydro Sigil: 302,Ấn Thủy: 302,302
Dendro Sigil: 303,Ấn Thảo: 303,303
Electro Sigil: 304,Ấn Lôi: 304,304
Ấn Phong: 305,Ấn Phong: 305,305
Cryo Sigil: 306,Ấn Băng: 306,306
Ấn Nham: 307,Ấn Nham: 307,307
Inazuma Reputation EXP: 314,EXP Danh Vọng - Inazuma: 314,314
Mondstadt Reputation EXP: 315,EXP Danh Vọng - Mondstadt: 315,315
Sumeru Reputation EXP: 316,EXP Danh Vọng - Sumeru: 316,316
Liyue Reputation EXP: 317,EXP Danh Vọng - Liyue: 317,317
Memory of Eternal Flames: 911,Ký Ức Thiêu Đốt: 911,911
Memory of Running Stream: 912,Ký Ức Bôn Ba Không Nghỉ: 912,912
Memory of Flourishing Green: 913,Ký Ức Cây Cỏ Tươi Tốt: 913,913
Memory of Violet Flash: 914,Ký Ức Thương Lôi Tử Điện: 914,914
Memory of Roving Gales: 915,Ký Ức Tứ Phương Chi Phong: 915,915
Memory of Piercing Frost: 916,Ký Ức Lạnh Cóng: 916,916
Memory of Immovable Crystals: 917,Ký Ức Kết Tinh Bất Động: 917,917
Kamisato Ayaka: 1002,Kamisato Ayaka: 1002,1002
Jean: 1003,Jean: 1003,1003
Male Character: 1005,Nam Chính: 1005,1005
Lisa: 1006,Lisa: 1006,1006
Female Lead: 1007,Nữ Chính: 1007,1007
Barbara: 1014,Barbara: 1014,1014
Kaeya: 1015,Kaeya: 1015,1015
Diluc: 1016,Diluc: 1016,1016
Razor: 1020,Razor: 1020,1020
Amber: 1021,Amber: 1021,1021
Venti: 1022,Venti: 1022,1022
Xiangling: 1023,Xiangling: 1023,1023
Beidou: 1024,Beidou: 1024,1024
Xingqiu: 1025,Xingqiu: 1025,1025
Xiao: 1026,Xiao: 1026,1026
Ningguang: 1027,Ningguang: 1027,1027
Klee: 1029,Klee: 1029,1029
Zhongli: 1030,Zhongli: 1030,1030
Fischl: 1031,Fischl: 1031,1031
Bennett: 1032,Bennett: 1032,1032
Tartaglia: 1033,Tartaglia: 1033,1033
Noelle: 1034,Noelle: 1034,1034
Qiqi: 1035,Qiqi: 1035,1035
Chongyun: 1036,Chongyun: 1036,1036
Ganyu: 1037,Ganyu: 1037,1037
Albedo: 1038,Albedo: 1038,1038
Diona: 1039,Diona: 1039,1039
Mona: 1041,Mona: 1041,1041
Keqing: 1042,Keqing: 1042,1042
Sucrose: 1043,Sucrose: 1043,1043
Xinyan: 1044,Xinyan: 1044,1044
Rosaria: 1045,Rosaria: 1045,1045
Hu Tao: 1046,Hu Tao: 1046,1046
Kaedehara Kazuha: 1047,Kaedehara Kazuha: 1047,1047
Yanfei: 1048,Yanfei: 1048,1048
Yoimiya: 1049,Yoimiya: 1049,1049
Thoma: 1050,Thoma: 1050,1050
Eula: 1051,Eula: 1051,1051
Raiden Shogun: 1052,Raiden Shogun: 1052,1052
Sayu: 1053,Sayu: 1053,1053
Sangonomiya Kokomi: 1054,Sangonomiya Kokomi: 1054,1054
Gorou: 1055,Gorou: 1055,1055
Kujou Sara: 1056,Kujou Sara: 1056,1056
Arataki Itto: 1057,Arataki Itto: 1057,1057
Yae Miko: 1058,Yae Miko: 1058,1058
Shikanoin Heizou: 1059,Shikanoin Heizou: 1059,1059
Yelan: 1060,Yelan: 1060,1060
Aloy: 1062,Aloy: 1062,1062
Shenhe: 1063,Shenhe: 1063,1063
Yun Jin: 1064,Yun Jin: 1064,1064
Kuki Shinobu: 1065,Kuki Shinobu: 1065,1065
Kamisato Ayato: 1066,Kamisato Ayato: 1066,1066
Collei: 1067,Collei: 1067,1067
Dori: 1068,Dori: 1068,1068
Tighnari: 1069,Tighnari: 1069,1069
Nilou: 1070,Nilou: 1070,1070
Cyno: 1071,Cyno: 1071,1071
Candace: 1072,Candace: 1072,1072
Nahida: 1073,Nahida: 1073,1073
Layla: 1074,Layla: 1074,1074
Wanderer: 1075,Kẻ Lang Thang: 1075,1075
Faruzan: 1076,Faruzan: 1076,1076
Yaoyao: 1077,Yaoyao: 1077,1077
Alhaitham: 1078,Alhaitham: 1078,1078
Kamisato Ayaka's Stella Fortuna: 1102,Chòm Sao Của Kamisato Ayaka: 1102,1102
Jean's Stella Fortuna: 1103,Chòm Sao Của Jean: 1103,1103
Traveler (Male)'s Stella Fortuna: 1105,Chòm Sao Của Nhà Lữ Hành (Nam): 1105,1105
Lisa's Stella Fortuna: 1106,Chòm Sao Của Lisa: 1106,1106
Traveler (Female)'s Stella Fortuna: 1107,Chòm Sao Của Nhà Lữ Hành (Nữ): 1107,1107
Barbara's Stella Fortuna: 1114,Chòm Sao Của Barbara: 1114,1114
Kaeya's Stella Fortuna: 1115,Chòm Sao Của Kaeya: 1115,1115
Diluc's Stella Fortuna: 1116,Chòm Sao Của Diluc: 1116,1116
Razor's Stella Fortuna: 1120,Chòm Sao Của Razor: 1120,1120
Amber's Stella Fortuna: 1121,Chòm Sao Của Amber: 1121,1121
Venti's Stella Fortuna: 1122,Chòm Sao Của Venti: 1122,1122
Xiangling's Stella Fortuna: 1123,Chòm Sao Của Xiangling: 1123,1123
Beidou's Stella Fortuna: 1124,Chòm Sao Của Beidou: 1124,1124
Xingqiu's Stella Fortuna: 1125,Chòm Sao Của Xingqiu: 1125,1125
Xiao's Stella Fortuna: 1126,Chòm Sao Của Xiao: 1126,1126
Ningguang's Stella Fortuna: 1127,Chòm Sao Của Ningguang: 1127,1127
Klee's Stella Fortuna: 1129,Chòm Sao Của Klee: 1129,1129
Zhongli's Stella Fortuna: 1130,Chòm Sao Của Zhongli: 1130,1130
Fischl's Stella Fortuna: 1131,Chòm Sao Của Fischl: 1131,1131
Bennett's Stella Fortuna: 1132,Chòm Sao Của Bennett: 1132,1132
Tartaglia's Stella Fortuna: 1133,Chòm Sao Của Tartaglia: 1133,1133
Noelle's Stella Fortuna: 1134,Chòm Sao Của Noelle: 1134,1134
Qiqi's Stella Fortuna: 1135,Chòm Sao Của Qiqi: 1135,1135
Chongyun's Stella Fortuna: 1136,Chòm Sao Của Chongyun: 1136,1136
Ganyu's Stella Fortuna: 1137,Chòm Sao Của Ganyu: 1137,1137
Albedo's Stella Fortuna: 1138,Cung Mệnh Của Albedo: 1138,1138
Diona's Stella Fortuna: 1139,Chòm Sao Của Diona: 1139,1139
Mona's Stella Fortuna: 1141,Chòm Sao Của Mona: 1141,1141
Keqing's Stella Fortuna: 1142,Chòm Sao Của Keqing: 1142,1142
Sucrose's Stella Fortuna: 1143,Chòm Sao Của Sucrose: 1143,1143
Xinyan's Stella Fortuna: 1144,Chòm Sao Của Xinyan: 1144,1144
Rosaria's Stella Fortuna: 1145,Chòm Sao Của Rosaria: 1145,1145
Hu Tao's Stella Fortuna: 1146,Cung Mệnh của Hu Tao: 1146,1146
Kaedehara Kazuha's Stella Fortuna: 1147,Cung Mệnh Kaedehara Kazuha: 1147,1147
Yanfei's Stella Fortuna: 1148,Chòm Sao Của Yanfei: 1148,1148
Yoimiya's Stella Fortuna: 1149,Chòm Sao Của Yoimiya: 1149,1149
Thoma's Stella Fortuna: 1150,Chòm Sao Của Thoma: 1150,1150
Eula's Stella Fortuna: 1151,Chòm Sao Của Eula: 1151,1151
Raiden Shogun's Stella Fortuna: 1152,Chòm Sao Của Raiden Shogun: 1152,1152
Sayu's Stella Fortuna: 1153,Chòm Sao Của Sayu: 1153,1153
