name,vi_name,value,prefabPath,previewprefabPath,titlePath,up4ids
Nahida,Nahida,1073,GachaShowPanel_A103,UI_Tab_GachaShowPanel_A103,UI_GACHA_SHOW_PANEL_A0103_TITLE,"1032,1020,1034"
Eula,Eula,1051,GachaShowPanel_A062,UI_Tab_GachaShowPanel_A062,UI_GACHA_SHOW_PANEL_A041_TITLE,"1032,1034,1045,1044,1025,1024"
Sangonomiya Kokomi,Sangonomiya Kokomi,1054,GachaShowPanel_A095,UI_Tab_GachaShowPanel_A095,UI_GACHA_SHOW_PANEL_A053_TITLE,"1025,1043,1068,1044,1056,1032,1045,1024,1025"
Xiao,Xiao,1026,GachaShowPanel_A082,UI_Tab_GachaShowPanel_A082,UI_GACHA_SHOW_PANEL_A031_TITLE,"1048,1014,1034,1064,1027,1036,1039,1024,1044"
Yelan,Yelan,1060,GachaShowPanel_A081,UI_Tab_GachaShowPanel_A081,UI_GACHA_SHOW_PANEL_A081_TITLE,"1048,1014,1034"
Kamisato Ayaka,Kamisato Ayaka,1002,GachaShowPanel_A079,UI_Tab_GachaShowPanel_A079,UI_GACHA_SHOW_PANEL_A048_TITLE,"1045,1053,1020,1027,1036,1048"
Nilou,Nilou,1070,GachaShowPanel_A100,UI_Tab_GachaShowPanel_A100,UI_GACHA_SHOW_PANEL_A0100_TITLE,"1024,1014,1023"
Skyward Pride,Thiên Không Kiêu Ngạo,14502,GachaShowPanel_A046,UI_Tab_GachaShowPanel_A046,UI_GACHA_SHOW_PANEL_A020_TITLE,"13407,11405,15412,12402,14402,13401,14409,12402,11403,15401"
Yoimiya,Yoimiya,1049,GachaShowPanel_A089,UI_Tab_GachaShowPanel_A089,UI_GACHA_SHOW_PANEL_A049_TITLE,"1064,1044,1032,1053,1039,1044,1032,1020,1034"
Ganyu,Ganyu,1037,GachaShowPanel_A094,UI_Tab_GachaShowPanel_A094,UI_GACHA_SHOW_PANEL_A028_TITLE,"1025,1043,1068,1025,1024,1048,1023,1025,1034"
Kaedehara Kazuha,Kaedehara Kazuha,1047,GachaShowPanel_A045,UI_Tab_GachaShowPanel_A045,UI_GACHA_SHOW_PANEL_A045_TITLE,"1045,1032,1020"
Keqing,Keqing,1042,GachaShowPanel_A032,UI_Tab_GachaShowPanel_A032,UI_GACHA_SHOW_PANEL_A032_TITLE,"1027,1032,1014"
The Unforged,Kiếm Vô Công,12504,GachaShowPanel_A080,UI_Tab_GachaShowPanel_A080,UI_GACHA_SHOW_PANEL_A020_TITLE,"11401,12402,13407,14401,15401,12402,11405,14402,15403,13407"
Venti,Venti,1022,GachaShowPanel_A077,UI_Tab_GachaShowPanel_A077,UI_GACHA_SHOW_PANEL_A019_TITLE,"1023,1043,1064,1043,1020,1034,1023,1031,1014,1065,1053,1072"
Raiden Shogun,Raiden Shogun,1052,GachaShowPanel_A073,UI_Tab_GachaShowPanel_A073,UI_GACHA_SHOW_PANEL_A052_TITLE,"1044,1056,1032,1056,1023,1043"
Tartaglia,Tartaglia,1033,GachaShowPanel_A056,UI_Tab_GachaShowPanel_A056,UI_GACHA_SHOW_PANEL_A037_TITLE,"1027,1036,1048,1027,1024,1039,1074,1059,1050"
Vortex Vanquisher,Giáo Nịnh Thần,15511,GachaShowPanel_A093,UI_Tab_GachaShowPanel_A093,UI_GACHA_SHOW_PANEL_A020_TITLE,"11401,12402,13407,14401,15402,11401,12410,13401,14401,15403"
Aquila Favonia,Phong Ưng Kiếm,12503,GachaShowPanel_A043,UI_Tab_GachaShowPanel_A043,UI_GACHA_SHOW_PANEL_A043_TITLE,"13401,14403,11403,15405,12405"
Freedom-Sworn,Lời Thề Tự Do Cổ Xưa,11503,GachaShowPanel_A088,UI_Tab_GachaShowPanel_A088,UI_GACHA_SHOW_PANEL_A020_TITLE,"11410,12405,13407,14402,15412,11405,12403,13401,14410,15410"
Primordial Jade Winged-Spear,Hòa Phác Diên,15508,GachaShowPanel_A083,UI_Tab_GachaShowPanel_A083,UI_GACHA_SHOW_PANEL_A020_TITLE,"13406,11403,12401,14409,15403,11402,12401,13406,14402,15401,14409,13407,11402,15405,12403"
Amos,Cung Amos,14506,GachaShowPanel_A096,UI_Tab_GachaShowPanel_A096,UI_GACHA_SHOW_PANEL_A020_TITLE,"11403,12401,13401,14409,15405,11401,12410,13401,14401,15403,15410,13401,12401,11410,14410,13401,14409,12402,11403,15401,13407,11402,12402,15402,14402"
Kagura,Chân Ý Của Kagura,11505,GachaShowPanel_A072,UI_Tab_GachaShowPanel_A072,UI_GACHA_SHOW_PANEL_A020_TITLE,"11403,12405,13416,14409,15402,11401,12402,13401,14401,15402"
Everlasting Moonglow,Vầng Trăng Bất Diệt,15502,GachaShowPanel_A096,UI_Tab_GachaShowPanel_A096,UI_GACHA_SHOW_PANEL_A020_TITLE,"11403,12401,13401,14409,15405,12416,15416,11405,13407,14403,13401,14401,12401,11402,15402"
Yae Miko,Yae Miko,1058,GachaShowPanel_A071,UI_Tab_GachaShowPanel_A071,UI_GACHA_SHOW_PANEL_A071_TITLE,"1031,1039,1050,1074,1059,1050"
Hunter,Con Đường Thợ Săn,13504,GachaShowPanel_A093,UI_Tab_GachaShowPanel_A093,UI_GACHA_SHOW_PANEL_A020_TITLE,"11401,12402,13407,14401,15402"
Skyward Harp,Cánh Thiên Không,15501,GachaShowPanel_A064,UI_Tab_GachaShowPanel_A064,UI_GACHA_SHOW_PANEL_A020_TITLE,"11410,12402,13407,14403,15412,15410,13401,12401,11410,14410,15410,11401,13407,14401,12403,15405,11402,14409,13407,12405,15405,11402,14409,13407,12405,13407,11402,12402,15402,14402"
Song of Broken Pines,Tiếng Gió Trong Rừng Thông,12503,GachaShowPanel_A063,UI_Tab_GachaShowPanel_A063,UI_GACHA_SHOW_PANEL_A020_TITLE,"11405,12403,13401,14410,15410,13401,14403,11403,15405,12405"
Haran Geppaku Futsu,Bạch Nhẫn Lưu Chuyển,11510,GachaShowPanel_A078,UI_Tab_GachaShowPanel_A078,UI_GACHA_SHOW_PANEL_A020_TITLE,"15405,11402,14402,13401,12403"
Mistsplitter Reforged,Ánh Sáng Đêm Sương Mù,11509,GachaShowPanel_A080,UI_Tab_GachaShowPanel_A080,UI_GACHA_SHOW_PANEL_A020_TITLE,"11401,12402,13407,14401,15401,14401,11401,13407,15402,12403"
Staff of Homa,Trượng Hộ Ma,13501,GachaShowPanel_A059,UI_Tab_GachaShowPanel_A059,UI_GACHA_SHOW_PANEL_A020_TITLE,"11403,12405,13416,14402,15416,11405,12410,13406,14402,15403"
Polar Star,Ngôi Sao Cực Đông,15507,GachaShowPanel_A058,UI_Tab_GachaShowPanel_A058,UI_GACHA_SHOW_PANEL_A020_TITLE,"13407,14409,15405,11401,12416,11401,12402,13401,14401,15402"
Summit Shaper,Kiếm Chước Phong,15509,GachaShowPanel_A090,UI_Tab_GachaShowPanel_A090,UI_GACHA_SHOW_PANEL_A020_TITLE,"14410,15410,11402,12403,13401,12410,13406,15403,11402,14409,12401,13407,11405,15402,14402"
Albedo,Albedo,1038,GachaShowPanel_A060,UI_Tab_GachaShowPanel_A060,UI_GACHA_SHOW_PANEL_A027_TITLE,"1032,1034,1045,1031,1043,1032,1024,1014,1023"
Cyno,Cyno,1071,GachaShowPanel_A097,UI_Tab_GachaShowPanel_A097,UI_GACHA_SHOW_PANEL_A097_TITLE,"1065,1053,1072"
Skyward Blade,Thiên Không Kiếm,15509,GachaShowPanel_A051,UI_Tab_GachaShowPanel_A051,UI_GACHA_SHOW_PANEL_A020_TITLE,"13401,15401,12405,11403,14403,13401,12401,15401,11410,14410"
Skyward Atlas,Quyển Thiên Không,14501,GachaShowPanel_A029,UI_Tab_GachaShowPanel_A029,UI_GACHA_SHOW_PANEL_A029_TITLE,"12401,13407,11405,15402,14402"
Shenhe,Shenhe,1063,GachaShowPanel_A065,UI_Tab_GachaShowPanel_A065,UI_GACHA_SHOW_PANEL_A065_TITLE,"1064,1027,1036"
Calamity Queller,Hủy Diệt,13505,GachaShowPanel_A067,UI_Tab_GachaShowPanel_A067,UI_GACHA_SHOW_PANEL_A020_TITLE,"11402,12401,13406,14402,15401"
Elegy for the End,Tiếng Thở Dài Vô Tận,15503,GachaShowPanel_A078,UI_Tab_GachaShowPanel_A078,UI_GACHA_SHOW_PANEL_A020_TITLE,"15405,11402,14402,13401,12403,11403,12405,13416,14402,15416,13401,12401,15401,11410,14410,11405,12415,13407,14403,15401"
Arataki Itto,Arataki Itto,1057,GachaShowPanel_A084,UI_Tab_GachaShowPanel_A084,UI_GACHA_SHOW_PANEL_A061_TITLE,"1036,1055,1065,1055,1014,1023"
Key of Khaj-Nisut,Chìa Khóa Khaj-Nisut,11505,GachaShowPanel_A102,UI_Tab_GachaShowPanel_A102,UI_GACHA_SHOW_PANEL_A020_TITLE,"11418,12405,13401,14416,15403"
Zhongli,Zhongli,1030,GachaShowPanel_A092,UI_Tab_GachaShowPanel_A092,UI_GACHA_SHOW_PANEL_A024_TITLE,"1067,1039,1031,1025,1024,1048,1048,1034,1039,1044,1036,1020"
A Thousand Floating Dreams,Cõi Mộng Ngàn Đêm,14511,GachaShowPanel_A105,UI_Tab_GachaShowPanel_A105,UI_GACHA_SHOW_PANEL_A020_TITLE,"11402,12403,13407,14402,15405"
Wolf,Đường Cùng Của Sói,13501,GachaShowPanel_A035,UI_Tab_GachaShowPanel_A035,UI_GACHA_SHOW_PANEL_A035_TITLE,"11405,12410,13406,14402,15403,13401,11403,12403,14403,15403"
Thundering Pulse,Sấm Sét Rung Động,15509,GachaShowPanel_A105,UI_Tab_GachaShowPanel_A105,UI_GACHA_SHOW_PANEL_A020_TITLE,"11402,12403,13407,14402,15405,14410,15410,11402,12403,13401,13401,15401,12405,11403,14403"
Lost Prayer to the Sacred Winds,Điển Tích Tây Phong,14502,GachaShowPanel_A088,UI_Tab_GachaShowPanel_A088,UI_GACHA_SHOW_PANEL_A020_TITLE,"11410,12405,13407,14402,15412,13407,11405,15412,12402,14402,15410,11401,13407,14401,12403,13401,11403,12403,14403,15403"
Tighnari,Tighnari,1069,GachaShowPanel_A091,UI_Tab_GachaShowPanel_A091,UI_GACHA_SHOW_PANEL_A091_TITLE,"1067,1039,1031"
Kamisato Ayato,Kamisato Ayato,1066,GachaShowPanel_A076,UI_Tab_GachaShowPanel_A076,UI_GACHA_SHOW_PANEL_A076_TITLE,"1023,1043,1064"
Primordial Jade Cutter,Bàn Nham Kết Lục,14509,GachaShowPanel_A072,UI_Tab_GachaShowPanel_A072,UI_GACHA_SHOW_PANEL_A020_TITLE,"11403,12405,13416,14409,15402,13401,14401,12401,11402,15402,14409,13407,11402,15405,12403,11418,12405,13401,14416,15403"
Skyward Spine,Xương Sống Thiên Không,13502,GachaShowPanel_A050,UI_Tab_GachaShowPanel_A050,UI_GACHA_SHOW_PANEL_A020_TITLE,"14401,11401,13407,15402,12403"
Engulfing Lightning,Đoạn Thảo Trường Đao,13509,GachaShowPanel_A075,UI_Tab_GachaShowPanel_A075,UI_GACHA_SHOW_PANEL_A020_TITLE,"12416,15416,11405,13407,14403,12402,11405,14402,15403,13407"
Aqua Simulacra,Nhược Thủy,13505,GachaShowPanel_A083,UI_Tab_GachaShowPanel_A083,UI_GACHA_SHOW_PANEL_A020_TITLE,"13406,11403,12401,14409,15403"
Memory of Dust,Khóa Trần Thế,14504,GachaShowPanel_A085,UI_Tab_GachaShowPanel_A085,UI_GACHA_SHOW_PANEL_A020_TITLE,"12410,11405,13401,14403,15402,13407,14409,15405,11401,12416,12410,13406,15403,11402,14409,15405,11402,14409,13407,12405,15405,11402,14409,13407,12405"
Staff of the Scarlet Sands,Quyền Trượng Cát Đỏ,13511,GachaShowPanel_A099,UI_Tab_GachaShowPanel_A099,UI_GACHA_SHOW_PANEL_A020_TITLE,"11405,12415,13407,14403,15401"
Hu Tao,Hu Tao,1046,GachaShowPanel_A057,UI_Tab_GachaShowPanel_A057,UI_GACHA_SHOW_PANEL_A033_TITLE,"1050,1039,1053,1025,1036,1023,1025,1036,1023"
Klee,Klee,1029,GachaShowPanel_A087,UI_Tab_GachaShowPanel_A087,UI_GACHA_SHOW_PANEL_A018_TITLE,"1027,1059,1050,1014,1043,1031,1025,1034,1043"
Redhorn Stonethresher,Xích Giác Phá Thạch Đao,12510,GachaShowPanel_A085,UI_Tab_GachaShowPanel_A085,UI_GACHA_SHOW_PANEL_A020_TITLE,"12410,11405,13401,14403,15402,11410,12402,13407,14403,15412"
